Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
France,2020-04-04,1.165545967224102,1.4501513942851665,0.8685820730614402,1.3036616268263783,1.0298435585495138,5,2021-06-22
France,2020-04-05,1.1266683922311171,1.4147224272767045,0.8256104322434279,1.2671598882251485,0.987815447264748,5,2021-06-22
France,2020-04-06,1.0879629565733768,1.3792260305987238,0.7852168936318955,1.2268649257062156,0.947919637769424,5,2021-06-22
France,2020-04-07,1.0504291760947921,1.3451210217761878,0.7448462846906099,1.1901266597558386,0.9113352499152652,5,2021-06-22
France,2020-04-08,1.0132558763250112,1.3050641608006417,0.7102236129020549,1.1528184138787092,0.8741940203026448,5,2021-06-22
France,2020-04-09,0.9762335153620892,1.261155407289135,0.6795623645614591,1.1138828329000794,0.8393085330523564,5,2021-06-22
France,2020-04-10,0.9345959244480918,1.2190661711988555,0.640261439251917,1.0716186840925055,0.7991347097829347,5,2021-06-22
France,2020-04-11,0.8992210805689926,1.1782641480891174,0.6082899454754644,1.0348594157124178,0.7646985142548203,5,2021-06-22
France,2020-04-12,0.8685149282710879,1.146891549755114,0.5737643332208959,1.0029058066536116,0.7344798894541483,5,2021-06-22
France,2020-04-13,0.8379784318049005,1.1135536523748508,0.5500051052426137,0.9703630865146652,0.7047379800291474,5,2021-06-22
France,2020-04-14,0.8147167659302411,1.0865183724660956,0.5301336143077757,0.9470817441152216,0.6826210882818686,5,2021-06-22
France,2020-04-15,0.7857209901217175,1.0573548766702203,0.5042093759169533,0.916194320481057,0.6551073110479273,5,2021-06-22
France,2020-04-16,0.7619526089256563,1.0348080642580562,0.4866088939673604,0.8910497564534149,0.6320297896855673,5,2021-06-22
France,2020-04-17,0.7359088558896744,1.0050554653382269,0.4574924451370659,0.8663647817703306,0.6060120102163915,5,2021-06-22
France,2020-04-18,0.7172409204690252,0.9881815473337742,0.4410980601764064,0.8467842199983897,0.587790495766757,5,2021-06-22
France,2020-04-19,0.7025923724052192,0.9740264685816548,0.4242114476501766,0.8331199713192351,0.5731535869503982,5,2021-06-22
France,2020-04-20,0.6907456577133756,0.964840038612426,0.4092757196542231,0.8221133023655932,0.5608441158584312,5,2021-06-22
France,2020-04-21,0.6838992005681114,0.9562424189903708,0.3998830817470809,0.8157980199288516,0.5525904213533448,5,2021-06-22
France,2020-04-22,0.6871919123210932,0.961267750817386,0.4022478690072506,0.8215950169331588,0.5559636516138644,5,2021-06-22
France,2020-04-23,0.6988941190241038,0.976674610311358,0.4108744081688103,0.8323346447978373,0.5670040710872423,5,2021-06-22
France,2020-04-24,0.7103365192166822,0.9874339906505382,0.422237023037484,0.8442614025670191,0.5776962120789403,5,2021-06-22
France,2020-04-25,0.7230714748249069,0.9984197111659155,0.440609281709897,0.855895458460028,0.5919147083426715,5,2021-06-22
France,2020-04-26,0.7374462679765342,1.0098500353299062,0.4584982952160879,0.8677840965229366,0.6076134149833009,5,2021-06-22
France,2020-04-27,0.7519846107547647,1.0250640369549415,0.4759982371740532,0.8828496498476008,0.6212007934611063,5,2021-06-22
France,2020-04-28,0.7548812601251391,1.028558894552473,0.4785750745909515,0.8852763527524267,0.6247207827432246,5,2021-06-22
France,2020-04-29,0.7520096910949414,1.027506893241706,0.4717254648030795,0.8831972273980628,0.6218726278283854,5,2021-06-22
France,2020-04-30,0.7496736267054638,1.0217313383397018,0.4753838594941617,0.879791073488577,0.6201847735505741,5,2021-06-22
France,2020-05-01,0.7475007883995212,1.0195980334219985,0.4750884513007543,0.87473753401617,0.6214131560016551,5,2021-06-22
France,2020-05-02,0.7510695339109109,1.0128912174392788,0.486826365854951,0.8760194899082252,0.6266561362393758,5,2021-06-22
France,2020-05-03,0.7583664251642397,1.0181649851466843,0.4956432184429504,0.8807054774381171,0.6346329045971266,5,2021-06-22
France,2020-05-04,0.768210895273668,1.024771935247678,0.5079371053484856,0.8898518256628043,0.6468309822809584,5,2021-06-22
France,2020-05-05,0.7820002748652761,1.0368002339528095,0.5224976186172915,0.9036887693508476,0.6601882311555345,5,2021-06-22
France,2020-05-06,0.7932266799176548,1.0485866379524782,0.5384638065256546,0.9142468744227336,0.6717669205325094,5,2021-06-22
France,2020-05-07,0.7688845459663392,1.0207247332530307,0.5145125035162865,0.8884429491870098,0.6498753761254998,5,2021-06-22
